country_id,state_code,country_name,country_total_votes,party,first_name,last_name,votes
1,AK,Alasaba,220596,Dem,Barack,Obama,91696
2,AK,Akaskak,220596,Dem,Barack,Obama,91696
3,AL,Autauga,23909,Dem,Barack,Obama,6354
4,AK,Akaska,220596,Dem,Barack,Obama,91696
5,AL,Baldwin,84988,Dem,Barack,Obama,18329
6,AL,Barbour,11459,Dem,Barack,Obama,5873
7,AL,Bibb,8391,Dem,Barack,Obama,2200
8,AL,Blount,23980,Dem,Barack,Obama,2961
9,AL,Bullock,5318,Dem,Barack,Obama,4058
10,AL,Butler,9483,Dem,Barack,Obama,4367
11,AL,Calhoun,46240,Dem,Barack,Obama,15500
12,AL,Chambers,14562,Dem,Barack,Obama,6853
13,AL,Cherokee,9761,Dem,Barack,Obama,2126
14,AL,Chilton,17434,Dem,Barack,Obama,3391
15,AL,Choctaw,7965,Dem,Barack,Obama,3785
16,AL,Clarke,13827,Dem,Barack,Obama,6317
17,AL,Clay,6640,Dem,Barack,Obama,1770
18,AL,Cleburne,6302,Dem,Barack,Obama,971
19,AL,Coffee,19715,Dem,Barack,Obama,4899
20,AL,Colbert,23374,Dem,Barack,Obama,9160
21,AL,Conecuh,7013,Dem,Barack,Obama,3551
22,AL,Coosa,5243,Dem,Barack,Obama,2188
23,AL,Covington,15415,Dem,Barack,Obama,3155
24,AL,Crenshaw,6411,Dem,Barack,Obama,2048
25,AL,Cullman,33178,Dem,Barack,Obama,4855
26,AL,Dale,18551,Dem,Barack,Obama,5283
27,AL,Dallas,20936,Dem,Barack,Obama,14599
28,AL,DeKalb,23842,Dem,Barack,Obama,5235
29,AL,Elmore,35440,Dem,Barack,Obama,8940
30,AL,Escambia,14832,Dem,Barack,Obama,5476
31,AL,Etowah,42490,Dem,Barack,Obama,12792
32,AL,Fayette,7912,Dem,Barack,Obama,1803
33,AL,Franklin,10859,Dem,Barack,Obama,3171
34,AL,Geneva,11318,Dem,Barack,Obama,2039
35,AL,Greene,5328,Dem,Barack,Obama,4514
36,AL,Hale,8628,Dem,Barack,Obama,5401
37,AL,Henry,8700,Dem,Barack,Obama,3046
38,AL,Houston,41843,Dem,Barack,Obama,12348
39,AL,Jackson,20555,Dem,Barack,Obama,5817
40,AL,Jefferson,303424,Dem,Barack,Obama,159658
41,AL,Lamar,7159,Dem,Barack,Obama,1643
42,AL,Lauderdale,36908,Dem,Barack,Obama,12504
43,AL,Lawrence,14079,Dem,Barack,Obama,5055
44,AL,Lee,54115,Dem,Barack,Obama,21274
45,AL,Limestone,35406,Dem,Barack,Obama,9809
46,AL,Lowndes,7519,Dem,Barack,Obama,5747
47,AL,Macon,10385,Dem,Barack,Obama,9045
48,AL,Madison,154632,Dem,Barack,Obama,61802
49,AL,Marengo,11509,Dem,Barack,Obama,6154
50,AL,Marion,12104,Dem,Barack,Obama,2249
51,AL,Marshall,32455,Dem,Barack,Obama,6271
52,AL,Mobile,174189,Dem,Barack,Obama,78417
53,AL,Monroe,10680,Dem,Barack,Obama,4897
54,AL,Montgomery,101781,Dem,Barack,Obama,62993
55,AL,Morgan,49198,Dem,Barack,Obama,13401
56,AL,Perry,6065,Dem,Barack,Obama,4536
57,AL,Pickens,9599,Dem,Barack,Obama,4448
58,AL,Pike,14057,Dem,Barack,Obama,6009
59,AL,Randolph,10391,Dem,Barack,Obama,3076
60,AL,Russell,18871,Dem,Barack,Obama,10495
61,AL,St. Clair,35105,Dem,Barack,Obama,5790
62,AL,Shelby,92204,Dem,Barack,Obama,19944
63,AL,Sumter,7025,Dem,Barack,Obama,5420
64,AL,Talladega,33317,Dem,Barack,Obama,13878
65,AL,Tallapoosa,18668,Dem,Barack,Obama,6252
66,AL,Tuscaloosa,78495,Dem,Barack,Obama,32003
67,AL,Walker,28497,Dem,Barack,Obama,6551
68,AL,Washington,8761,Dem,Barack,Obama,2971
69,AL,Wilcox,6547,Dem,Barack,Obama,4867
70,AL,Winston,9712,Dem,Barack,Obama,1286
72,AR,Arkansas,6488,Dem,Barack,Obama,2454
73,AR,Ashley,7915,Dem,Barack,Obama,2855
74,AR,Baxter,19339,Dem,Barack,Obama,5172
75,AR,Benton,77525,Dem,Barack,Obama,22144
76,AR,Boone,15363,Dem,Barack,Obama,3762
77,AR,Bradley,3634,Dem,Barack,Obama,1447
78,AR,Calhoun,2174,Dem,Barack,Obama,660
79,AR,Carroll,10172,Dem,Barack,Obama,3691
80,AR,Chicot,4361,Dem,Barack,Obama,2649
81,AR,Clark,8406,Dem,Barack,Obama,3808
82,AR,Clay,5110,Dem,Barack,Obama,1738
83,AR,Cleburne,11643,Dem,Barack,Obama,2618
84,AR,Cleveland,3266,Dem,Barack,Obama,845
85,AR,Columbia,9455,Dem,Barack,Obama,3557
86,AR,Conway,7724,Dem,Barack,Obama,3003
87,AR,Craighead,31207,Dem,Barack,Obama,10351
88,AR,Crawford,20562,Dem,Barack,Obama,4872
89,AR,Crittenden,15513,Dem,Barack,Obama,9092
90,AR,Cross,6680,Dem,Barack,Obama,2279
91,AR,Dallas,3083,Dem,Barack,Obama,1337
92,AR,Desha,4240,Dem,Barack,Obama,2353
93,AR,Drew,6626,Dem,Barack,Obama,2627
94,AR,Faulkner,41322,Dem,Barack,Obama,13559
95,AR,Franklin,6539,Dem,Barack,Obama,1725
96,AR,Fulton,4522,Dem,Barack,Obama,1452
97,AR,Garland,39241,Dem,Barack,Obama,13317
98,AR,Grant,6478,Dem,Barack,Obama,1467
99,AR,Greene,13754,Dem,Barack,Obama,3998
100,AR,Hempstead,6919,Dem,Barack,Obama,2466
101,AR,Hot Spring,11239,Dem,Barack,Obama,3824
102,AR,Howard,4419,Dem,Barack,Obama,1460
103,AR,Independence,12390,Dem,Barack,Obama,3279
104,AR,Izard,5313,Dem,Barack,Obama,1563
105,AR,Jackson,5338,Dem,Barack,Obama,2093
106,AR,Jefferson,27364,Dem,Barack,Obama,17456
107,AR,Johnson,8064,Dem,Barack,Obama,2785
108,AR,Lafayette,2928,Dem,Barack,Obama,1173
109,AR,Lawrence,5537,Dem,Barack,Obama,1786
110,AR,Lee,3424,Dem,Barack,Obama,2107
111,AR,Lincoln,3725,Dem,Barack,Obama,1424
112,AR,Little River,5051,Dem,Barack,Obama,1552
113,AR,Logan,7330,Dem,Barack,Obama,2009
114,AR,Lonoke,24083,Dem,Barack,Obama,5612
115,AR,Madison,6567,Dem,Barack,Obama,2099
116,AR,Marion,7029,Dem,Barack,Obama,2024
117,AR,Miller,15329,Dem,Barack,Obama,4518
118,AR,Mississippi,13349,Dem,Barack,Obama,6445
119,AR,Monroe,3230,Dem,Barack,Obama,1583
120,AR,Montgomery,3403,Dem,Barack,Obama,920
121,AR,Nevada,3384,Dem,Barack,Obama,1314
122,AR,Newton,3661,Dem,Barack,Obama,993
123,AR,Ouachita,10303,Dem,Barack,Obama,4626
124,AR,Perry,3937,Dem,Barack,Obama,1187
